"Name,Accurate Speaking Topics"
"A.J. Peak,DSO Growth & Acquisitions; Practice Scalability; De Novo Dental Startups; Tech in Group Practice Management"
"Adrian McCovy,Diversity in Dentistry; Leadership Empowerment; Practice Culture & Transformation"
"Aleksandra Polcynsky,Dental Implant Market Analysis; Aesthetic Digital Prosthetics; Advanced Dental Ceramics; Digital Workflow Integration"
"Alexander Einbinder,Practice Acquisition; DSO Strategy; Dental Group Operations; Building & Managing Teams"
"Alexander Wuensche,New Dental Materials; Digital Lab Technologies; Equipment Demonstration; Full-Arch Prosthetics"
"Alicia Kieffer,Patient-First Dental Practices; DSO Leadership; Revenue Cycle Innovation; Operational Excellence"
"Allen Robinson,Robotics in Oral Surgery; OMS Technology Integration; Neocis Systems"
"Allison Horn,Dental Marketing Trends; Growth Hacking Dental Brands; Patient Acquisition"
"Amanda Cole Hill,Dental Hygiene; Infection Control; Waterline Safety; CDIPC Standards"
"Arian B. Deutsch, CDT,Removable Prosthetics; Telescopic Implant Solutions; Esthetic Dental Technology Collaboration"
"Arthur W. Curley, JD,Dental/Medical Liability; Healthcare Law; AI in Risk Management; Ethics in Dentistry"
"Avi Weisfogel,Dental Sleep Medicine; Sleep Apnea Practice Growth; Patient Screening for Sleep Disorders"
"Avinash Bidra, BDS, MS, FACP,Implant Prosthodontics; Complex Full-Arch Rehabs; Pterygoid & Zygomatic Implants"
"Brad Billings,Practice Management; Dental Business Models"
"Brandon Dickerman,Lab Equipment Innovations; Hands-On Dental Technology Training"
"Burhan Syed,Dental AI Technology; Automation Solutions for Dental Practices"
"CPT Andrew Egger,Military Periodontics; Clinical Innovation; Research Methods"
"CPT Denise Cacho,Military Periodontics; Periodontal Innovation; Clinical Research"
"CPT Justin Galliani,Military Periodontics; Periodontal Research; Clinical Innovation"
"Cami Luljak,Dental Practice Management; Operational Excellence for DSOs"
"Capt Jess Cayetano,Military Periodontics; Clinical Research; Treatment Innovation"
"Capt Luke Seiler,Military Periodontics; Periodontal Research; Clinical Innovation"
"Capt Victoria Wei,Military Periodontics; Periodontal Innovation; Clinical Research"
"Charles Banh,Digital Full-Arch Workflows; Lab Technology; Straumann Systems Integration"
"Charles Goodacre, DDS, MSD, FACP,Prosthodontics; Fixed and Removable Prosthetics"
"Chick Hoff,DSO and Orthodontic Practice Management; Financial Leadership"
"Christie Fink,Dental Sleep Solutions; Integrated Sleep Dentistry"
"Colleen McFarlin,Practice Management; Specialty Dental Operations"
"Daniel Richards,Dental Practice Management; Practice Growth Strategies"
"Daniel Tataje,Leadership Excellence; Dental Team Coaching"
"Darin Dichter, DMD,Prosthodontics; Removable/Fixed Prosthetics; Advanced Techniques"
"David Sopp,Practice Management; Specialty Growth for Group Practices"
"Dean Tassone,Dental Payor Strategies; Insurance Relations in Group Practice"
"Douglas Benting, DDS, MS, FACP,Prosthodontics; Implant Prosthodontics; Full-Arch Rehabilitation"
"Dr. Acela Martinez,Implant Dentistry; Digital Dentistry; 3D Printing in Periodontics; Bone Regeneration"
"Dr. Adam Saltz,Periodontology; Public Health in Periodontics; Interdisciplinary Collaboration"
"Dr. Agne Malisauskiene,Direct Anterior Restorations; Minimally Invasive Techniques"
