id,name,headshot_url,profession,specialty,event_title
248,Dr. Bach T. Le,https://www.whittieroralsurgery.com/files/2011/08/BH2013_00195CCOPY.jpg,"DDS, MD",USC School of Dentistry,2025 AAOMS Dental Implant Conference
242,Dr. Baldwin W. Marchack,https://www.pasadenaimplants.com/wp-content/uploads/2019/08/meet-the-team-1.jpg,"DDS, MBA",Pasadena Prosthodontics,2025 AAOMS Dental Implant Conference
267,Dr. Berfin K. Jacobs,https://www.conferenceharvester.com/uploads/harvester/photos/cropUBQCTSJF-Presenter-JacobsB.jpg,"Clinical Associate Professor, Temple University",Oral and Maxillofacial Surgery,2025 AAOMS Dental Implant Conference
244,Dr. Carlos Aparicio,https://zagacenters.com/wp-content/uploads/2023/07/Dr.-Carlos-Aparicio-2-1024x1024-1.webp,"DDS, MD, PhD, MSc, MSc, DLT","Director of the Zygomatic Unit at Hepler Bone Clinic, ZAGA Center, Barcelona",2025 AAOMS Dental Implant Conference
249,Dr. Craig M. Misch,@assets/image_1752867156398.png,"DDS, MDS",Misch Implant Dentistry,2025 AAOMS Dental Implant Conference
264,Dr. Daniel R. Cullum,https://www.conferenceharvester.com/uploads/harvester/photos/cropMHFRHKOX-Presenter-CullumD.jpg,"President, Implants Northwest Live Learning Center",Oral and Maxillofacial Surgery,2025 AAOMS Dental Implant Conference
255,Dr. David A. Fenton,https://www.bristolctoralsurgery.com/files/2011/08/DrFenton.jpg,"DDS, MD, FACS",Bristol Oral Surgery and Implant Center,2025 AAOMS Dental Implant Conference
271,Dr. Dean Morton,https://www.conferenceharvester.com/uploads/harvester/photos/cropUBQCTSJF-Presenter-MortonD.jpg,"Professor and Director, Indiana University School of Dentistry",Restorative Dentistry,2025 AAOMS Dental Implant Conference
250,Dr. Donald P. Lewis Jr.,https://www.ohsurgery.com/wp-content/uploads/sites/4868/2024/09/blue-jacket-8.jpg,DDS,"Ohio's Center for Oral, Facial and Implant Surgery Highland Heights",2025 AAOMS Dental Implant Conference
239,Dr. Eric C. Baker,https://www.niguelcoastoralsurgery.com/wp-content/uploads/2019/02/dr-baker-1-1.jpg,"DDS, MD",Dental Implants GPS,2025 AAOMS Dental Implant Conference
266,Dr. German O. Gallucci,https://www.conferenceharvester.com/uploads/harvester/photos/cropUBQCTSJF-Presenter-GallucciG.jpeg.jpg,"Professor and Chair, Harvard School of Dental Medicine",Restorative Dentistry,2025 AAOMS Dental Implant Conference
245,Dr. Guillermo Chacon,https://www.wacenters.com/wp-content/uploads/sites/4175/2019/04/drChacon-web.jpg,"DDS, FACS",Oral & Facial Surgery Centers of Washington,2025 AAOMS Dental Implant Conference
240,Dr. Jay C. Platt,https://www.jplattdds.com/wp-content/uploads/sites/5219/2022/10/DrPlatt.jpg,"DDS, PC",Private Practice,2025 AAOMS Dental Implant Conference
273,Dr. Jay M. Neugarten,https://www.conferenceharvester.com/uploads/harvester/photos/cropEFXUYVIU-Presenter-NeugartenJ.jpeg.jpg,"Private Practice, New York Center for Orthognathic Surgery",Oral and Maxillofacial Surgery,2025 AAOMS Dental Implant Conference
251,Dr. Jimmie L. Harper Jr.,https://www.cincinnatioms.com/wp-content/uploads/sites/641/2020/11/JLH-Web-223x300.jpeg,"DDS, MS","Cincinnati Oral and Maxillofacial Surgery, Inc.",2025 AAOMS Dental Implant Conference
274,Dr. Joan Pi-Anfruns,https://www.conferenceharvester.com/uploads/harvester/photos/cropUBQCTSJF-Presenter-PiAnfrunsJ.jpg,"Private Practice, Los Angeles",Oral and Maxillofacial Surgery,2025 AAOMS Dental Implant Conference
