name,profession,event_title,linkedin,twitter,instagram,facebook,website,youtube,social_visible
Dr. Bach T. Le,"DDS, MD",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/bach-le-393b3517/,"","","","","",t
Dr. Baldwin W. Marchack,"DDS, MBA",2025 AAOMS Dental Implant Conference,"","","","","","",t
Dr. Berfin K. Jacobs,"Clinical Associate Professor, Temple University",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/berfink/?_l=en,"","","","","",t
Dr. Carlos Aparicio,"DDS, MD, PhD, MSc, MSc, DLT",2025 AAOMS Dental Implant Conference,"","","","","","",t
Dr. Craig M. Misch,"DDS, MDS",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/craig-misch-dds-mds-05a3022,"","","","","",t
Dr. Daniel R. Cullum,"President, Implants Northwest Live Learning Center",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/dan-cullum-3889b91b/,"","","","","",t
Dr. David A. Fenton,"DDS, MD, FACS",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/david-fenton-dds-md-facs-6316a713/,"","","","","",t
Dr. Dean Morton,"Professor and Director, Indiana University School of Dentistry",2025 AAOMS Dental Implant Conference,"","","","","","",t
Dr. Donald P. Lewis Jr.,DDS,2025 AAOMS Dental Implant Conference,"","","","","","",t
Dr. Eric C. Baker,"DDS, MD",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/eric-baker-dds-md-87b983144/,"",https://www.instagram.com/teeth_and_titanium/,"","","",t
Dr. German O. Gallucci,"Professor and Chair, Harvard School of Dental Medicine",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/ggallucci/,"",https://www.instagram.com/germangallucci/,"","","",t
Dr. Guillermo Chacon,"DDS, FACS",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/guillermo-chacon-a0952a86,"","","","","",t
Dr. Jay C. Platt,"DDS, PC",2025 AAOMS Dental Implant Conference,"","","","","","",t
Dr. Jay M. Neugarten,"Private Practice, New York Center for Orthognathic Surgery",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/jay-neugarten-dds-md-facs-ba3b741a8,"",https://www.instagram.com/drneugarten/,"","","",t
Dr. Jimmie L. Harper Jr.,"DDS, MS",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/jimmie-harper-b9657bba/,"","","","","",t
Dr. Joan Pi-Anfruns,"Private Practice, Los Angeles",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/joan-pi-anfruns-b0b54814/,"",https://www.instagram.com/drjpianfruns/,"","","",t
Dr. Kamal F. Busaidy,"DDS, FDSRCS (Eng), FACS",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/busaidy/?_l=en,"","","","","",t
Dr. Katja Nelson,"Dean of Dental Medicine, Universitätsklinikum Freiburg",2025 AAOMS Dental Implant Conference,"",https://twitter.com/katja,"","","","",t
Dr. Lane T. Knight,DDS,2025 AAOMS Dental Implant Conference,"","","","","","",t
Dr. Larry E. Stigall,DDS,2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/larry-stigall-2066991b/,"","","","","",t
Dr. Lawrence E. Brecht,"Director of Maxillofacial Prosthetics, Northwell Health",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/lawrence-e-brecht-dds-8ba1116/,"",https://www.instagram.com/nycprosthodontics/,"","","",t
Dr. Lorenzo Mordini,"Director Post Graduate Periodontology, Tufts University",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/lorenzo-mordini-dds-ms-73074431/,"",https://www.instagram.com/dr.lorenzomordini/,https://www.facebook.com/lmordds/,"","",t
Dr. Louis K. Rafetto,"DMD, MEd",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/louis-rafetto-86795331,"","",https://www.facebook.com/DrLouisRafettoDmd/,"","",t
Dr. Michael A. Pikos,DDS,2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/michael-pikos-78683b14/,https://twitter.com/pikosinstitute,https://www.instagram.com/pikosinstitute/,https://www.facebook.com/pikosinstitute/,"","",t
Dr. Panos Papaspyridakos,"DDS, MS, PhD",2025 AAOMS Dental Implant Conference,https://linkedin.com/in/panos-papaspyridakis,https://twitter.com/panospaps,https://www.instagram.com/panos__papaspyridakos/,"","","",t
Dr. Paulo Carvalho,Oral and Maxillofacial Surgeon,2025 AAOMS Dental Implant Conference,"","",https://www.instagram.com/paulocarvalhoff/,"","","",t
Dr. Peter A. Vellis,DDS,2025 AAOMS Dental Implant Conference,"","","","","","",t
Dr. Ricardo Mitrani,Grupo Dental Bosques Oral Health & Smile Design,2025 AAOMS Dental Implant Conference,"","","","","","",t
Dr. Robert A. Levine,"DDS, FCPP, FISPP, AOD",2025 AAOMS Dental Implant Conference,"","",https://www.instagram.com/panos__papaspyridakos/,"","","",t
Dr. Rolf Ewers,"Chairman Emeritus, Hospital of Cranio Maxillofacial & Oral Surgery",2025 AAOMS Dental Implant Conference,"","","","","","",t
Dr. Shuaib Malik,"Owner, Oral and Maxillofacial Surgery of Chicago",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/shuaib-malik-42116325,"","","","","",t
Dr. Tara Aghaloo,"Professor and Director, Clinical Research Center, UCLA School of Dentistry",2025 AAOMS Dental Implant Conference,"","","","","","",t
Dr. Waldemar D. Polido,"DDS, MS, PhD",2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/waldemardpolido/,"",https://www.instagram.com/prof.waldemarpolido/,https://www.facebook.com/Dr.Polido.cirurgia.implantes/,"","",t
Jennifer Brady,MHA,2025 AAOMS Dental Implant Conference,https://www.linkedin.com/in/jennifer-brady-co-mha-28950313/,"","","","","",t
Dr. Ahmad Kutkut,Prosthodontist & Implant Specialist,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. Aman S. Bhullar,"Doctor of Medicine in Dentistry, FAAID, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. Andrea Ravida,"Doctor of Dental Surgery, MS, PhD",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. Andrea Ricci,Doctor of Dental Surgery,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. Andy Burton,Dental Specialist,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. Azadeh Amy Khajavi,"DDS, Biological Dentist",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","",https://www.dramykhajavi.com/,"",t
Dr. Bart Silverman,Oral & Maxillofacial Surgeon,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/drbartsilverman,"",https://www.instagram.com/bwsoralsurgery/,"","","",t
Dr. Ben Kellum,"DDS, Full Arch Specialist",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","",https://wehrleimplantimmersion.com/,"",t
Dr. Brian J. Jackson,"DDS, DABOI/ID, Honored Fellow AAID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/brian-j-jackson-59b1a5174,"",https://www.instagram.com/brianjacksondental/,"",https://brianjacksondds.com/,"",t
Dr. Bruce G. Freund,DDS,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. Cara Minichetti,DDS,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. Christian Hart,"DDS, Full Arch Specialist",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","",https://transcenddental.com/,"",t
Dr. Christopher Petrush,"DDS, FAAID, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. Craig I. Aronson,"DDS, FAGD, FAAID, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/dr-craig-aronson-dds-fagd-09510983/,"",https://www.instagram.com/craig_aronson/,"",https://premierdentalny.com/,"",t
Dr. Dan Holtzclaw,Periodontist & Implant Specialist,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/dan-holtzclaw-43562a13/,"",https://www.instagram.com/danholzklau/,"","","",t
Dr. Daniel Domingue,"DDS, DABOI/ID, DICOI",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/danny-domingue-dds-21a3b47/,"",https://www.instagram.com/implantdiplomate/,"",https://www.acadianadentistry.com/,"",t
Dr. David Resnick,"DDS, FAAID, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. David Resnick,"DDS, FAAID, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","",https://timaxinstitute.com/,"",t
Dr. Doaa Adel Khattab,"DDS, MS",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. Donald J. Provenzale,"DDS, DABOI/ID, AFAAID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","",https://chewswisely.com/,"",t
Dr. Duke Heller,"DDS, MS, Honored Fellow AAID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","",https://midwestimplantinstitute.com/,"",t
Dr. Ed R. Kusek,"DDS, FAAID, DABOI/ID, Past President AAID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/edward-kusek-679764a/,"","","",https://www.drkusek.com/,"",t
Dr. Frank Caputo,"DDS, AAID Diplomate",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/dr-craig-aronson-dds-fagd-09510983/,https://twitter.com/frankcaputomd,https://www.instagram.com/fcaputodds/,"",https://www.thepathway.com/frankcaputo,"",t
Dr. Frank Caputo,"DDS, FAAID, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/dr-craig-aronson-dds-fagd-09510983/,https://twitter.com/frankcaputomd,https://www.instagram.com/fcaputodds/,"","","",t
Dr. George Arvanitis,"DDS, DABOI, Honored Fellow AAID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://ca.linkedin.com/in/george-arvanitis-083b1a75,"","","",https://arvanitis.com/,"",t
Dr. Hamilton M. Sporborg,"DDS, FAAID, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. Hesham Nouh,"DSc, Clinical Professor",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/hesham-nouh-91303b158,"",https://www.instagram.com/hesham_nouh/,https://www.facebook.com/hesham.nouh.5/,https://www.bu.edu/dental/,"",t
Dr. Hussam Batal,"DMD, Clinical Professor",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/hussam-batal-0724bb344/,"","","",https://www.bu.edu/dental/profile/hussam-batal/,"",t
Dr. Ihab Hanna,"DDS, FAAID-DABOI, DICOI",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/ihab-m-hanna-a0bb3330/,"","","",https://rwcimplantclub.com/,"",t
Dr. Iqbal Biswas,"MD, FRCP(C) Anesthesiology",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","",https://timaxinstitute.com/,"",t
Dr. JB White,"DDS, AAID Member",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/jb-white-dds-70702752/,"","","",https://www.jbwhitedds.com/,"",t
Dr. James L. Rutkowski,"Doctor of Medicine in Dentistry, PhD",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. James Nager,"DMD, Associate Fellow AAID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/james-nager-dmd-35364210,"","","",https://www.hsdm.harvard.edu/people/james-nager,"",t
Dr. Janice Wang,"DDS, ABOI/ID Diplomate, AAID Fellow",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","",https://www.wcimplant.com/,"",t
Dr. Jason Kim,"DDS, AAID Fellow, ABOI/ID Diplomate",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","",https://www.instagram.com/jasonkimsmileartist/,"",https://jjkda.com/,"",t
Dr. Jerome Smith,"DDS, Honored Fellow AAID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/jerome-smith-07a30a21/,"","","",https://www.acadianadentistry.com/,"",t
Dr. Jin Y. Kim,Periodontist & Implant Specialist,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/drjinkim/,"",https://www.instagram.com/drjinkim/,"","","",t
Dr. John C. Minichetti,"DMD, FAAID, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. John Minichetti,"DMD, DABOI/ID, Fellow AAID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/john-minichetti-5429b111/,"","","",https://www.dentalimplantlearningcenter.com/,"",t
Dr. Jonathan Tsang,"DMD, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","",https://www.abbotsfordsmiles.com/,"",t
Dr. Joseph Leonetti,"DMD, DABOI/ID, FAAID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/joseph-leonetti-dmd-352a509/,"","","",https://www.implantedco.com/dr-joe-leonetti/,"",t
Dr. Keith Long,Implant Specialist,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. Kwan M. Lee,"DDS, DABOI, DICOI",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","",https://www.federalwayimplantlaser.com/,"",t
Dr. Lawrence Nalitt,"DDS, DABOI/ID, FAGD",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/larry-nalitt-bb47a764/,"","","",https://www.broadwaydentalcenterny.com/,"",t
Dr. Lily Hu,"DMD, Board-Certified Anesthesiologist",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/lily-hu-dmd-50954793/,"","","",https://dental.tufts.edu/people/faculty/lily-hu,"",t
Dr. Michael A. Pikos,"DDS, FACS, DABOMS, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/michael-pikos-78683b14/,"",https://www.instagram.com/pikosinstitute/,"",https://www.pikosinstitute.com/,"",t
Dr. Michael A. Pikos,"Doctor of Dental Surgery, FAAID, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/michael-pikos-78683b14/,"",https://www.instagram.com/pikosinstitute/,"",https://www.pikosinstitute.com,"",t
Dr. Michael A. Pikos,"DDS, DABOI/ID, DICOI",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/michael-pikos-78683b14/,"",https://www.instagram.com/pikosinstitute/,"",https://www.pikosinstitute.com/,"",t
Dr. Michael D. Scherer,"DMD, MS, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/drscherer/,"",https://www.instagram.com/michaelschererdmd/,"","","",t
Dr. Michael D. Scherer,Prosthodontist & Implant Specialist,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/drscherer/,"",https://www.instagram.com/michaelschererdmd/,"","","",t
Dr. Michael Shulman,"DDS, AAID Course Instructor",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/mike-shulman-8b660524/,"",https://www.instagram.com/shulmandds/,"",https://shulmandds.com/,"",t
Dr. Mohamed Wagdy Bissar,"BChD, MSC, PhD, AFAAID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. Nakul Rathi,"DDS, MS Prosthodontics, NYU Implant Fellowship",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/dr-nakul-rathi-625132a/,"","","","","",t
Dr. Nathan Doyel,"DMD, FAAID, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/nathan-doyel-7b6a9029/,https://twitter.com/nateeic99,https://www.instagram.com/nathandoyel/,"",https://www.newsmiles.com/,"",t
Dr. Paul Goodman,"DDS, Dental Nachos Founder",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/dr-paul-goodman-2a6a56177/,https://twitter.com/dentalnachos,https://www.instagram.com/drpaulgoodman/,"",https://www.dentalnachos.com/,"",t
Dr. Paul Goodman,Doctor of Medicine in Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/dr-paul-goodman-2a6a56177/,https://twitter.com/dentalnachos,https://www.instagram.com/drpaulgoodman/,"",https://www.dentalnachos.com,"",t
Dr. Purnima Kumar,Periodontist & Microbial Ecologist,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/purnima-kumar-47a9a016/,https://twitter.com/purnimakumar10,"","","","",t
Dr. Rachana Hegde,Board-Certified Periodontist,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/rachana-hegde-b24363104/,"","","",https://wasatchperio.com/,"",t
Dr. Rachana Hegde,"BDS, MS, DABP, DABOI, FAAID, FICD",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/rachana-hegde-b24363104/,"","","","","",t
Dr. Rajiv Patel,"DABOI/ID, Fellow AAID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","",https://wehrleimplantimmersion.com/,"",t
Dr. Rami Salloum,"DDS, FAAID, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/dr-rami-salloum-a164b81b/,"","","",https://www.brightdentalpa.com/,"",t
Dr. Rami Salloum,"DDS, DABOI/ID, FAAID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/dr-rami-salloum-a164b81b/,"","","",https://www.brightdentalpa.com/,"",t
Dr. Ramsey Amin,"Doctor of Dental Surgery, FAAID, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/drramseyamindds/,"",https://www.instagram.com/ramseyamindds/,"","","",t
Dr. Robert Heller,"DDS, Prosthodontist",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","",https://midwestimplantinstitute.com/,"",t
Dr. Robert J. Stanley,"DDS, PhD, MS, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/robert-j-stanley/,"","","",https://stanleyinstitute.com/,"",t
Dr. Roderick Stewart,"DDS, DABOI, Honored Fellow AAID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/roderick-stewart-58299541/,"","","",https://timaxinstitute.com/,"",t
Dr. Ron Zokol,"DDS, DABOI/ID, DICOI",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://ca.linkedin.com/in/dr-ron-zokol-a0975214,"","",https://www.facebook.com/Ron.Zokol,https://ddidental.com/,"",t
Dr. Samantha A. Siranli,"Doctor of Medicine in Dentistry, PhD, FAAID, DABOI/ID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/samantha-siranli-dmd-phd-facp-pllc-5122b1207/,"","","","","",t
Dr. Sangiv I. Patel,Implant Specialist,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
Dr. Sarah Jockin,"DDS, DABOI/ID, Associate Fellow AAID",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/sarah-jockin-dds-daboi-id-ab13b540/,https://twitter.com/drsarahjockin,"",https://www.facebook.com/LakeParkDental/,https://fullarchsuccess.com/,"",t
Dr. Scott D. Ganz,Doctor of Medicine in Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/scott-d-ganz-dmd-a589035/,"","","","","",t
Dr. Scott D. Ganz,"DMD, Prosthodontist",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/scott-d-ganz-dmd-a589035/,"","","",https://drganz.com/,"",t
Dr. Sebastiano Andreana,Periodontist & Implant Specialist,AAID Annual Meeting 2025 - American Academy of Implant Dentistry,https://www.linkedin.com/in/sebastiano-andreana-72a76712,"","","","","",t
Dr. Shahram Ghanaati,"MD, DMD, PhD, Associate Professor",AAID Annual Meeting 2025 - American Academy of Implant Dentistry,"","","","","","",t
