name,title
Adrian McCovy,Dental Professional
Allen Robinson,Robotics Technology Expert
Allison Horn,"Vice President, Marketing"
"Arian B. Deutsch, CDT",Certified Dental Technician
"Arthur W. Curley, JD",Healthcare Legal Expert
Brandon Dickerman,Lab Equipment
Brody Hildebrand,DDS
Catrise Austin,Dental Professional
"Charles Goodacre, DDS, MSD, FACP",Distinguished Professor
Christopher Brendemuhl,"DMD, Department Chair"
Cyrus Lee,"DMD, Executive Dental Director"
"Darin Dichter, DMD",Private Practice
"Douglas Benting, DDS, MS, FACP",ACP President
Dr. Algirdas Puisys,"DDS, PhD"
Dr. Allie Rascon,Board-Certified Periodontist & Implant Specialist
Dr. Alonso Carrasco-Labra,"DDS, MSc, PhD"
Dr. Andy Burton,Dental Specialist
Dr. Angel Garcia-Cañas,Contemporary Implant Dentistry Specialist
Dr. Anthony Sallustio,DDS
Dr. Arndt Guentsch,"DMD, PhD, MHBA, MS"
Dr. Athena Goodarzi,Key Opinion Leader Straumann Group - Full-Arch Specialist
Dr. Azam Saeed,International Speaker - Straumann Digital Excellence Center
Dr. Ben Kellum,"DDS, Full Arch Specialist"
Dr. Benjamin Pliska,Sleep Medicine
Dr. Bradley Ross,DMD
Dr. Brent Barta,"Owner & CEO, West 10th Dental Group"
Dr. Brian J. Jackson,"DDS, DABOI/ID, Honored Fellow AAID"
Dr. Bruce G. Freund,DDS
Dr. Carlos de Carvalho,Prosthodontist
Dr. Christian Coachman,"CDT, DDS"
Dr. Christian Hart,"DDS, Full Arch Specialist"
Dr. Clark Damon,CEO Texas Implant Institute - Nobel Biocare Lecturer
Dr. Craig I. Aronson,"DDS, FAGD, FAAID, DABOI/ID"
Dr. Craig M. Misch,Complication Prevention
Dr. Dan Holtzclaw,Extramaxillary Implants
Dr. Daniel Domingue,"DDS, DABOI/ID, DICOI"
Dr. David A. Fenton,Emergency Management
Dr. David L. Cochran,"DDS, PhD"
Dr. David Norré,DDS
Dr. David Resnick,"DDS, FAAID, DABOI/ID"
Dr. David Wands,Leadership Expert
Dr. DeVonte Johnson,"DMD, Dentist and Owner, Eastside Dental Group"
Dr. Dean Morton,Prosthodontist
Dr. Dimitris N. Tatakis,"DDS, PhD"
Dr. Doaa Adel Khattab,"DDS, MS"
Dr. Donald J. Provenzale,"DDS, DABOI/ID, AFAAID"
Dr. Douglas Benting,Prosthodontics
Dr. Drew Phillips,Valedictorian & Multi-State Implant Educator
Dr. Duke Heller,"DDS, MS, Honored Fellow AAID"
Dr. Ed R. Kusek,"DDS, FAAID, DABOI/ID, Past President AAID"
Dr. Fadi Hasan,"DDS, MSD"
Dr. Faisal A. Quereshy,Oral Surgery Education Expert
Dr. Frank Caputo,"DDS, AAID Diplomate"
Dr. Frank M. Spear,"DDS, MSD"
Dr. Galip Gurel,"DDS, MSc"
Dr. George Arvanitis,"DDS, DABOI, Honored Fellow AAID"
Dr. George Tysowsky,Dental Technology Economist
Dr. Gerard J. Chiche,DDS
Dr. Giorgio Tabanella,"DDS, MS"
Dr. Gustavo Giordani,DDS
Dr. Hesham Nouh,"DSc, Clinical Professor"
Dr. Hiroshi Hirata,Anesthesiologist & Sedation Specialist
Dr. Howard Gluckman,"BDS, MChD, PhD"
Dr. Hussam Batal,"DMD, Clinical Professor"
