name,title
A.J. Peak,"Chief Executive Officer, Peak Dental Services"
Adam Hamilton,Healthcare Speaker
Adrian McCovy,Dental Professional
Aleksandra Polcynsky,Dental Implant Market Analysis
Alexander Einbinder,"DDS, Dentist, Caterpillar Dental"
Alexander Wuensche,New Materials
Alicia Kieffer,"Senior Vice President, Practice Services, Imagen Dental Partners"
Allen Robinson,Robotics Technology Expert
Allison Horn,"Vice President, Marketing"
Amanda Cole Hill,"BSDH, RDH, CDIPC"
Amel Hassan,"DDS, Owner"
Andre De Souza,Healthcare Speaker
Anthony Kofoworola-Kuti,"President and Clinical Director, 4K Dentistry"
Arian B. Deutsch,Certified Dental Technician
Arthur W. Curley,Healthcare Legal Expert
Avi Weisfogel,Chief Executive Officer
Avinash Bidra,Professor and Chair
Benjamin Pliska,Clinical Professor
Brad Billings,"Co-Founder, Salt Flats Dentistry"
Bradley Nelson,"Co-Founder and Vice President, Growth"
Brandon Dickerman,Lab Equipment
Brody Hildebrand,"DDS, MS"
Burhan Syed,"Chief Executive Officer and President, Rondah AI"
CPT Andrew Egger,Military Periodontics
CPT Denise Cacho,Military Periodontics
CPT Justin Galliani,Military Periodontics
Cami Luljak,"Senior Director, Operations, Imagen Dental Partners"
Capt Jess Cayetano,Military Periodontics
Capt Luke Seiler,Military Periodontics
Capt Victoria Wei,Military Periodontics
Catrise Austin,Dental Professional
Charles Banh,Digital Full-Arch Workflows
Charles Goodacre,Distinguished Professor
Chick Hoff,"Vice President and Chief Financial Officer, My Orthodontist"
Christie Fink,"Head, Billing Intelligence"
Christopher Brendemuhl,"DMD, Department Chair"
Colleen McFarlin,"Vice President, Specialty Division, Dental Care Alliance"
Craig Misch,"DDS, MDS"
Cyrus Lee,"DMD, Executive Dental Director"
Daniel Richards,"Chief Executive Officer, CFO Dental Partners"
Daniel Tataje,"Founder and Chief Executive Officer, Mercy Dental Group"
Darin Dichter,Private Practice
David Sopp,"Chief Development Officer, Specialty Smile Partners"
Dean Tassone,"Vice President, Payor Strategy, Dental Care Alliance"
Douglas Benting,ACP President
Dr. Acela Martinez,Division Director of Clinical Implantology - East Carolina University
Dr. Adam Saltz,"DMD, MS, MPH"
Dr. Agne Malisauskiene,DMD
Dr. Ahmad Kutkut,Tooth Condition Changes
Dr. Ahmet Orgev,Digital Dentistry Specialist
Dr. Alan S. Law,"Chief Clinical Officer, Specialty Practices, Park Dental Partners"
Dr. Alex Gillone,Division Director of Periodontology - East Carolina University
Dr. Alexandra Tsigarda,"Chair, Department of Periodontology - University of Rochester"
Dr. Algirdas Puisys,"DDS, PhD"
Dr. Allie Rascon,Board-Certified Periodontist & Implant Specialist
Dr. Allison Rascon,DDS
Dr. Alonso Carrasco-Labra,"DDS, MSc, PhD"
Dr. Alvaro Blasi,"DDS, CDT"
Dr. Aman S. Bhullar,Full-Time Implantology
Dr. Amanda Finger Stadler,"DDS, MSD, MS, PhD"
Dr. Amara Abreu-Serrano,Prosthodontist
Dr. Andrea Ravida,Peri-implantitis Management
Dr. Andrea Ricci,Terminal Dentition Management
Dr. Andy Burton,Dental Specialist
Dr. Angel Garcia-Cañas,Contemporary Implant Dentistry Specialist
Dr. Angela A. Palaiologou-Gallis,Periodontology
Dr. Anna Singh,"Senior Vice President, Clinical Operations, Heartland Dental"
Dr. Anthony Sallustio,DDS
Dr. Anton Sculean,Periodontal Regeneration
Dr. Antonia Kolokythas,Oral and Maxillofacial Surgeon
Dr. Armand Bedrossian,Digital Technology & Full Arch Specialist
Dr. Arndt Guentsch,"DMD, PhD, MHBA, MS"
Dr. Athena Goodarzi,Key Opinion Leader Straumann Group - Full-Arch Specialist
Dr. Avinash Bidra,Implant Prosthodontics
Dr. Azadeh Amy Khajavi,"DDS, Biological Dentist"
Dr. Azam Saeed,International Speaker - Straumann Digital Excellence Center
Dr. Bach T. Le,Clinical Practice
Dr. Baldwin W. Marchack,Implant Restoration Management
Dr. Bart Silverman,Implant Complications
Dr. Beatriz Bezerra,"DDS, PhD"
Dr. Ben Kellum,"DDS, Full Arch Specialist"
Dr. Benjamin Pliska,Sleep Medicine
Dr. Berfin Jacobs,Implant Dentistry Researcher
Dr. Berfin K. Jacobs,"Clinical Associate Professor, Temple University"
Dr. Bijal Mehta,"System Dental Director, Adventist Health; Co-Owner, Mehta Dental Group"
Dr. Bindu Dukka,"BDS, MSD, MPH"
Dr. Bradley Ross,DMD
Dr. Brent Barta,"Owner & CEO, West 10th Dental Group"
Dr. Brett Kessler,DDS
Dr. Brian J. Jackson,"DDS, DABOI/ID, Honored Fellow AAID"
Dr. Bruce G. Freund,DDS
Dr. Bryan Basom,"Founder, Magnolia Dental"
Dr. Bryan J. Frantz,"DMD, MS"
Dr. Caitlin Darcey,"DMD, MS, MHPE"
Dr. Cara Minichetti,DDS
Dr. Carlos Aparicio,Zygomatic Implants
Dr. Carlos Parra Carrasquer,Periodontology
Dr. Carlos de Carvalho,Prosthodontist
Dr. Carol Lefebvre,Executive Leadership Coach
Dr. Carter Reeves,"Chief Executive Officer, DDS"
Dr. Charles A. Powell,Periodontology
Dr. Christian Coachman,"CDT, DDS"
Dr. Christian Hart,"DDS, Full Arch Specialist"
Dr. Christopher Petrush,"DDS, FAAID, DABOI/ID"
Dr. Christopher R. Richardson,Periodontal Regeneration
Dr. Chun-Teh Lee,"DDS, MS, DMSc"
Dr. Clark Damon,CEO Texas Implant Institute - Nobel Biocare Lecturer
Dr. Craig I. Aronson,"DDS, FAGD, FAAID, DABOI/ID"
Dr. Craig M. Misch,Complication Prevention
Dr. Curry Leavitt,Periodontist
Dr. Dan Holtzclaw,Extramaxillary Implants
Dr. Daniel Buser,"Professor and Chairman (Emeritus), Department of Oral Surgery, University of Bern, Switzerland. Pioneer of micro-rough implant surfaces and GBR technique with 35 years of surgical experience."
Dr. Daniel Domingue,"DDS, DABOI/ID, DICOI"
Dr. Daniel R. Cullum,"President, Implants Northwest Live Learning Center"
Dr. David A. Fenton,Emergency Management
Dr. David A. Scott,PhD
Dr. David L. Cochran,"DDS, PhD"
Dr. David Lipton,Periodontal Specialist & Implant Expert
Dr. David M. Kim,"DDS, DMSc"
Dr. David Norré,DDS
Dr. David P. Mathews,DDS
Dr. David Resnick,"DDS, FAAID, DABOI/ID"
Dr. David T. Wu,"DMD, DMSc, FRCDC"
Dr. David Wands,Leadership Expert
Dr. DeVonte Johnson,"DMD, Dentist and Owner, Eastside Dental Group"
Dr. Dean Morton,Prosthodontist
Dr. Dennis Tarnow,DDS
Dr. Devorah Schwartz-Arad,Periodontal Regeneration
Dr. Diana V. Messadi,"DDS, MMSc, DMSc"
Dr. Didier Dietschi,"DMD, PhD"
Dr. Diego Velasquez-Plata,Periodontal Research
Dr. Dimitris N. Tatakis,"DDS, PhD"
Dr. Doaa Adel Khattab,"DDS, MS"
Dr. Donald J. Provenzale,"DDS, DABOI/ID, AFAAID"
Dr. Donald P. Lewis Jr.,Anesthesia
Dr. Doug Dixon,Periodontology
Dr. Douglas Benting,Prosthodontics
Dr. Drew Phillips,Valedictorian & Multi-State Implant Educator
Dr. Duke Heller,"DDS, MS, Honored Fellow AAID"
